Campus,Dorm Name
Redstone,Christie
Redstone,Coolidge
Redstone,Patterson
Redstone,Wright
Redstone,Slade
Redstone,Hamilton
Redstone,Mason
Redstone,Simpson
Redstone,Davis
Redstone,Wilks
Redstone,Wing
Redstone,Redstone Hall
Athletic,Harris
Athletic,Millis
Athletic,Living and Learning
Athletic,Austin
Athletic,Marsh
Athletic,Tupper
Athletic,University Heights North
Athletic,University Heights South
Central Campus,Central Campus Residence Hall
Central Campus,Converse
Trinity,Cottages
Trinity,Hunt
Trinity,McAuley
Trinity,McCann
Trinity,Mercy
Trinity,Ready
Trinity,Richardson
Trinity,Sichel 
Jeanne Mance,Jeanne Mance
